Month,Year,Date,Industry_members,Production,A,B,C,D,E,Taxable Withdrawals by Tax Class,AA,BB,CC,DD,EE,Taxable Withdrawals by Bulk vs Bottled,Bottled,Bulk,Tax Free Withrdawalsa,AAA,BBB,CCC,DDD,EEE,Bottled Exports,Bulk Exports,Stocks on Hand End-of-Period,AAAA,BBBB,FFFF,CCCC,DDDD,EEEE,Stocks on Hand End-of-Period by Bulk vs Bottled,Bottled,Bulk
March ,2016,March ,"3,435","32,350,961","18,293,646","9,196,449","2,831,858",N/A,N/A,"62,771,171","49,985,739","7,171,058","1,659,296","76,201","3,878,877","62,771,171","60,668,320","2,102,851","11,061,034","9,914,164","1,000,566","88,944","57,360","9,460,590","5,021,508","4,439,082","1,072,472,769","797,520,845","249,928,805","1,599,349","18,611,633","353,108","4,459,028","1,072,472,769","190,425,253","882,047,516"
,, 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2025,May ,"1,414","7,344,169","2,264,909","1,912,448","1,555,213","247,708","1,363,891","41,485,948","36,712,469","584,438","1,439,632","206,550","2,542,859","41,485,948","40,066,290","1,419,658","8,358,194","5,522,567",N/A,"49,660",N/A,"4,509,690","1,365,306","3,144,384","906,860,826","866,990,275","10,870,874","1,475,645","23,661,934","1,231,574","2,630,525","906,860,826","178,013,563","728,847,263"
,, 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2024,May ,"1,546","17,622,204","10,225,325","2,606,476","2,894,986","161,676","1,733,741","47,128,997","41,403,251","858,886","1,660,958","270,946","2,934,956","47,128,997","45,207,774","1,921,223","15,673,123","10,371,671","4,783,019",N/A,N/A,"6,472,717","2,396,765","4,075,952","979,313,285","935,745,593","10,226,697","3,253,328","24,780,823","1,151,537","4,155,307","979,313,285","175,445,723","803,867,562"
,, 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2023,May ,"1,580","15,686,144","6,155,145","4,229,614","3,085,464","142,685","2,073,236","46,761,274","40,881,159","696,071","1,957,003","259,878","2,967,163","46,761,274","46,216,605","544,669","10,449,848","5,937,392","4,057,913","36,286","418,258","4,683,993","2,665,924","2,018,069","930,979,064","886,455,877","11,823,802","2,011,356","24,862,575","1,306,360","4,519,095","930,979,064","194,567,665","736,411,399"
,, 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2022,May ,"1,644","16,766,305","10,414,097","1,794,946","2,553,800","168,104","1,835,358","52,659,134","46,498,937","735,209","2,187,506","217,282","3,020,199","52,659,134","51,328,548","1,330,586","12,310,296","8,193,228","3,340,132","104,235","672,701","7,072,379","3,720,276","3,352,103","928,013,216","887,485,592","12,374,890","1,577,752","21,887,907","1,310,225","3,376,850","928,013,216","183,414,233","744,598,983"
,, 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2021,May ,"1,636","11,922,148","5,246,174","1,774,112","3,052,437","341,467","1,507,958","57,614,449","51,008,465","834,059","2,381,121","294,669","3,096,134","57,614,449","57,267,514","346,936","10,809,504","8,621,813","1,405,213","91,688","690,789","7,692,600","3,296,392","4,396,208","931,722,535","892,451,210","12,064,682","1,797,802","20,322,574","1,028,183","4,058,083","931,722,535","190,419,187","741,303,348"
,, 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2020,May ,"1,655","16,526,970","11,796,833","1,634,413","2,086,895","99,132","909,698","57,754,842","51,530,870","769,930","1,753,619","188,479","3,511,944","57,754,842",N/A,N/A,"10,040,478","8,375,349","1,325,536","42,458","297,134","7,599,937","2,176,153","5,423,784","1,044,391,845","1,002,531,586","12,909,532","3,133,079","21,561,767","813,132","3,442,748","1,044,391,845","184,672,075","859,719,770"
,, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2019,May ,"1,673","18,209,139","11,299,792","1,877,601","3,394,658","373,928","1,263,160","63,025,953","55,231,769","865,523","2,404,000","213,028","4,311,632","63,025,953","61,345,744","1,680,209","9,229,468","8,214,781","685,729","143,383","185,575","7,665,588","3,584,342","4,081,246","1,058,352,812","1,016,727,971","14,900,112","962,025","21,882,796","573,294","3,306,615","1,058,352,812","185,675,691","872,677,121"
,, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2018,May ,"1,708","15,226,663","8,340,046","1,806,116","3,450,122","107,683","1,522,695","63,095,593","55,324,969","923,718","2,144,837","119,014","4,583,055","63,095,593","61,704,640","1,390,953","10,713,010","9,673,230","704,012","152,190","183,579","9,400,019","3,981,056","5,418,962","999,762,042","957,788,713","14,399,987","873,135","22,491,568","409,787","3,798,852","999,762,042","188,010,908","811,751,134"
,, 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2017,May ,"1,776","13,867,818","10,608,061","-1,496,085","3,339,482","21,650","1,394,710","58,925,006","47,287,987","5,121,594","2,399,860","70,685","4,044,879","58,925,006","57,947,389","977,616","10,687,232","9,241,624","1,196,431","120,166","129,011","9,613,472","4,616,807","4,996,666","975,847,414","736,671,648","213,052,193","1,546,226","20,961,506","228,257","3,387,584","975,847,414","201,716,620","774,130,794"
,, 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,2016,May ,"1,741","12,343,928","4,610,760","2,979,176","3,232,077","14,272","1,507,644","55,109,398","44,190,607","4,898,716","1,901,839","75,434","4,042,802","55,109,398","52,544,094","2,565,304","9,218,460","7,644,234","1,439,214",N/A,N/A,"7,968,736","4,439,186","3,529,550","946,347,713","703,019,651","217,320,307","1,522,225","20,397,886","314,962","3,772,682","946,347,713","194,721,999","751,625,714"
,, 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2025,November ,"1,350","66,742,856","61,850,156","2,013,455","1,013,947","234,880","1,630,418","39,884,855","34,352,911","571,802","1,787,339","401,579","2,771,224","39,884,855","38,854,451","1,030,404","8,030,860","4,973,479","2,588,678",N/A,N/A,"3,216,704","1,120,588","2,096,117","917,357,793","878,291,712","9,372,473","3,191,447","21,847,213","1,729,799","2,925,148","917,357,793","167,919,635","749,438,159"
,, 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2024,November ,"1,514","70,797,927","62,948,339","4,029,129","1,921,277","187,951","1,711,230","44,517,628","38,896,084","740,635","2,213,470","217,107","2,450,331","44,517,628","43,240,074","1,277,553","10,812,702","6,644,162","3,632,795","65,730","470,015","5,299,371","2,485,641","2,813,730","981,597,766","938,209,476","11,046,870","2,035,552","25,066,554","1,250,873","3,988,441","981,597,766","179,156,108","802,441,658"
,, 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2023,November ,"1,576","164,864,742","156,748,287","4,079,109","1,831,164","89,084","2,117,099","52,569,677","45,723,007","843,735","3,041,209","199,475","2,762,249","52,569,677","51,297,998","1,271,679","12,890,983","7,301,859",N/A,"116,043",N/A,"5,446,153","2,991,501","2,454,652","974,902,268","931,295,526","13,234,821","1,639,341","23,682,118","1,176,914","3,873,548","974,902,268","192,166,771","782,735,496"
,, 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2022,November ,"1,606","115,193,765","105,871,217","4,633,720","2,547,016","65,334","2,076,477","54,312,451","46,717,851","1,155,899","3,228,018","203,418","3,007,265","54,312,451","53,349,486","962,965","11,414,280","7,374,070",N/A,"73,851",N/A,"5,630,995","2,796,378","2,834,617","989,532,148","947,464,357","10,459,174","2,517,155","24,358,595","1,366,121","3,366,747","989,532,148","190,048,156","799,483,992"
,, 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2021,November ,"1,640","127,595,189","118,173,154","3,584,136","3,815,825","201,807","1,820,267","57,961,625","50,497,917","709,325","3,618,148","246,581","2,889,653","57,961,625","57,447,918","513,707","12,471,729","8,854,913","3,016,655","75,984","524,177","7,179,190","3,312,751","3,866,439","999,471,601","958,434,478","11,885,378","1,750,553","22,108,097","1,358,637","3,934,457","999,471,601","192,052,247","807,419,354"
,, 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2020,November ,"1,670","100,563,747","94,062,978","2,459,883","2,718,666","208,346","1,113,874","59,120,943","51,560,018","678,615","3,549,985","197,210","3,135,115","59,120,943","58,945,592","175,351","10,237,004","8,160,209","1,750,040","108,003","218,751","6,719,149","2,952,645","3,766,504","1,043,119,102","1,004,029,498","13,228,791","1,785,230","20,714,409","726,712","2,634,462","1,043,119,102","186,890,169","856,228,933"
,, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2019,November ,"1,683","122,350,668","115,121,091","4,232,379","1,756,943","60,820","1,179,435","59,024,123","51,121,414","918,205","3,650,131","157,877","3,176,496","59,024,123","58,188,082","836,041","8,802,385","7,624,122","762,052","104,559","311,652","6,543,552","3,482,722","3,060,830","1,113,088,654","1,067,838,253","17,925,929","2,009,360","21,475,366","782,343","3,057,404","1,113,088,654","198,338,437","914,750,217"
,, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2018,November ,"1,694","136,185,339","129,610,644","2,778,240","2,477,981","91,053","1,227,420","62,722,968","54,311,952","828,174","3,788,380","130,145","3,664,317","62,722,968","61,784,711","938,257","9,270,743","8,274,460","806,210","124,603","65,470","7,285,249","3,521,737","3,763,513","1,075,987,973","1,035,510,258","14,718,290","1,046,714","20,688,753","552,309","3,471,649","1,075,987,973","188,217,694","887,770,279"
,, 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2017,November ,"1,757","132,032,497","98,529,216","30,042,122","2,164,779","3,261","1,293,119","64,477,331","50,504,399","6,419,451","3,851,284","91,387","3,610,810","64,477,331","63,155,408","1,321,924","7,806,987","6,402,170","1,242,351","87,461","75,005","6,491,907","3,763,210","2,728,697","1,084,622,614","853,976,040","205,819,036","607,038","21,014,634","270,701","2,935,165","1,084,622,614","204,182,963","880,439,652"
,, 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,2016,November ,"1,756","122,269,737","89,771,882","29,107,824","2,513,197",N/A,N/A,"64,212,216","50,972,715","5,814,147","3,726,244","141,644","3,557,466","64,212,216","62,574,264","1,637,952","8,597,277","7,175,625","1,184,197","179,741","57,714","7,028,181","4,636,152","2,392,030","1,060,647,201","836,754,970","199,053,666","1,002,252","19,225,340","330,334","4,280,640","1,060,647,201","193,313,829","867,333,372"
,, 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2025,October ,"1,326","118,633,684","109,652,020","5,802,586","1,402,660","111,660","1,664,758","47,832,996","42,228,484","631,763","1,951,146","524,821","2,496,782","47,832,996",N/A,N/A,"9,735,973","5,489,707",N/A,"46,474",N/A,"3,731,853","1,484,572","2,247,281","898,164,870","858,271,728","9,935,080","3,830,642","21,635,866","1,528,545","2,963,010","898,164,870","177,109,881","721,054,989"
,, 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2024,October ,"1,501","126,942,952","118,082,540","5,535,108","1,839,114","111,360","1,374,830","50,252,917","43,915,203","877,151","2,416,383","383,335","2,660,844","50,252,917","48,298,064","1,954,853","11,765,004","6,836,191","4,312,640","88,059","528,115","5,291,962","2,559,976","2,731,986","955,716,991","911,308,194","12,142,246","2,697,835","25,257,649","1,059,781","3,251,286","955,716,991","179,020,839","776,696,152"
,, 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2023,October ,"1,569","115,978,113","107,444,947","3,287,427","2,507,997","194,105","2,543,637","51,264,019","44,401,774","801,294","2,572,761","176,216","3,311,974","51,264,019","49,600,923","1,663,095","13,569,840","8,012,346",N/A,"67,009",N/A,"5,155,455","2,471,479","2,683,976","862,390,952","817,526,868","13,147,839","2,097,809","24,790,828","1,126,061","3,701,547","862,390,952","192,567,095","669,823,857"
,, 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2022,October ,"1,616","134,471,531","124,402,596","5,356,960","2,605,382","110,713","1,995,880","54,632,410","47,748,057","800,158","2,870,999","200,937","3,012,259","54,632,410","54,429,944","202,466","12,618,469","7,080,699",N/A,"86,892",N/A,"5,565,585","2,612,399","2,953,186","935,172,691","893,303,877","10,804,391","1,887,517","24,853,778","1,425,093","2,898,034","935,172,691","194,863,322","740,309,369"
,, 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2021,October ,"1,652","153,257,722","144,972,903","3,028,255","3,206,796","184,074","1,865,694","55,015,764","47,797,540","636,578","3,616,890","197,335","2,767,420","55,015,764","54,726,354","289,410","12,185,061","8,875,281","2,799,540","132,813","377,428","7,253,891","3,010,582","4,243,310","938,586,426","897,260,277","12,431,434","2,095,010","21,584,914","1,384,747","3,830,045","938,586,426","201,665,342","736,921,084"
,, 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2020,October ,"1,694","137,812,313","128,022,722","4,869,925","3,303,235","105,854","1,510,577","64,598,177","57,172,951","593,877","3,319,773","231,888","3,279,688","64,598,177","64,221,229","376,948","12,576,766","9,842,163","2,348,919",N/A,N/A,"8,105,053","3,369,999","4,735,054","1,014,517,075","975,370,279","12,275,609","1,763,212","21,850,481","686,569","2,570,925","1,014,517,075","194,645,223","819,871,852"
,, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2019,October ,"1,705","155,368,010","143,951,157","6,698,728","3,427,898","82,843","1,207,384","61,158,534","53,713,986","760,110","3,153,299","152,471","3,378,668","61,158,534","59,964,472","1,194,062","10,359,041","9,038,415","1,109,629",N/A,N/A,"7,504,481","3,156,706","4,347,774","1,053,294,085","1,008,673,968","15,504,050","2,345,046","23,152,949","803,270","2,814,802","1,053,294,085","204,275,599","849,018,486"
,, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2018,October ,"1,725","170,367,400","162,794,592","3,684,973","2,489,025","56,156","1,342,654","66,225,865","57,384,036","812,743","3,648,092","116,085","4,264,909","66,225,865","65,295,069","930,797","9,616,432","8,780,961","640,048","137,754","57,668","7,689,291","3,610,320","4,078,971","1,009,167,845","968,285,339","14,248,535","937,260","21,993,158","490,929","3,212,623","1,009,167,845","196,926,068","812,241,776"
,, 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2017,October ,"1,779","181,387,967","152,046,737","24,947,472","2,971,313","10,735","1,411,710","64,459,833","51,095,584","5,963,247","3,357,936","75,410","3,967,657","64,459,833","63,306,081","1,153,752","8,292,099","6,644,523","1,471,849","111,446","64,283","6,472,085","3,957,517","2,514,567","1,021,064,727","808,063,090","185,696,381","702,039","23,357,754","315,521","2,929,942","1,021,064,727","215,318,822","805,745,905"
,, 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,2016,October ,"1,770","160,293,174","142,365,590","13,947,321","2,741,837","2,991","1,235,436","61,410,095","49,034,092","5,850,806","3,011,231","89,430","3,424,537","61,410,095","59,576,702","1,833,394","10,400,211","8,996,682","1,225,746","139,408","38,376","8,711,999","4,693,475","4,018,524","1,011,670,528","803,504,556","181,524,451","1,049,808","20,571,465","386,482","4,633,767","1,011,670,528","204,334,703","807,335,825"
,, 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2025,September ,"3,304","82,157,043","74,372,728","3,349,101","1,543,589","336,474","2,555,151","50,690,952","43,815,685","664,751","1,706,020","525,891","3,978,605","50,690,952",N/A,N/A,"11,819,131","7,032,168","4,637,526",N/A,N/A,"4,842,913","1,368,035","3,474,878","861,609,634","818,490,010","9,719,373","2,830,505","25,094,362","1,793,020","3,682,364","861,609,634","188,487,482","673,122,152"
,, 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2024,September ,"3,620","100,878,560","93,508,354","2,618,324","2,139,388","144,797","2,467,697","53,827,502","46,516,923","771,979","2,234,220","245,706","4,058,673","53,827,502","50,067,511","3,759,991","13,721,114","9,164,423","3,954,421","105,408","496,863","6,898,115","2,684,637","4,213,477","932,277,420","876,883,185","12,624,702","1,955,341","34,098,441","1,270,982","5,444,770","932,277,420","201,444,044","730,833,376"
,, 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2023,September ,"3,735","67,750,045","60,074,911","2,717,048","2,019,204","156,499","2,782,383","55,448,726","47,763,381","786,089","2,501,857","238,883","4,158,515","55,448,726","54,007,444","1,441,282","12,590,193","7,432,283","4,513,867","36,186","607,858","4,895,611","2,311,821","2,583,790","831,891,959","783,946,557","14,061,252","2,315,188","25,561,983","1,284,532","4,722,446","831,891,959","203,191,882","628,700,076"
,, 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2022,September ,"3,809","117,771,031","106,659,604","5,214,224","2,517,327","209,412","3,170,465","59,019,416","50,729,414","820,428","2,684,683","258,709","4,526,181","59,019,416","58,235,107","784,309","16,928,400","8,660,884","7,827,616","89,847","350,052","5,844,813","2,950,259","2,894,554","889,722,409","842,589,751","13,082,407","2,470,528","25,751,948","1,631,609","4,196,166","889,722,409","210,952,415","678,769,994"
,, 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2021,September ,"3,685","113,613,849","101,400,305","6,338,076","2,698,021","236,706","2,940,741","62,704,797","54,383,417","731,974","2,709,228","296,548","4,583,630","62,704,797","61,849,393","855,404","15,239,068","11,470,975","2,999,980","117,414","650,699","7,780,197","2,891,521","4,888,676","871,681,713","827,073,807","13,640,240","1,984,355","22,816,820","1,523,957","4,642,533","871,681,713","211,234,151","660,447,562"
,, 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2020,September ,"3,651","133,098,857","122,135,109","6,268,187","2,001,516","193,108","2,500,937","67,866,351","60,305,171","985,062","2,623,182","299,836","3,653,100","67,866,351","67,406,427","459,925","13,645,810","11,763,955","1,508,719",N/A,N/A,"9,285,402","3,334,783","5,950,619","970,364,799","926,089,349","13,921,231","2,990,440","22,810,737","946,349","3,606,692","970,364,799","208,137,337","762,227,462"
,, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2019,September ,"3,613","137,573,811","118,294,395","13,743,887","2,789,449","116,145","2,629,935","62,416,045","54,285,391","1,029,278","2,517,057","178,615","4,405,704","62,416,045","61,093,284","1,322,761","9,794,470","8,988,674","671,318","64,420","70,059","7,378,029","3,114,402","4,263,627","999,294,194","948,514,612","15,094,347","7,327,031","23,642,599","734,842","3,980,764","999,294,194","213,416,768","785,877,426"
,, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2018,September ,"3,562","138,736,869","122,561,489","11,041,073","2,862,001","56,806","2,215,499","60,100,257","52,353,272","624,157","2,333,018","122,547","4,667,263","60,100,257","58,647,350","1,452,906","8,978,038","8,297,505","502,232","112,031","66,270","7,074,924","2,820,106","4,254,818","939,665,221","889,340,342","19,150,646","2,650,301","23,490,979","578,616","4,454,338","939,665,221","210,821,256","728,843,965"
,, 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2017,September ,"3,545","143,785,090","128,286,012","10,295,895","2,975,224","57,677","2,170,282","62,119,510","48,020,610","6,943,456","2,766,389","95,592","4,293,463","62,119,510","61,232,282","887,228","12,251,143","10,740,017","1,349,400","109,617","52,109","8,496,570","3,831,282","4,665,288","938,588,564","726,226,645","182,806,147","823,496","24,415,500","340,734","3,976,042","938,588,564","229,067,069","709,521,495"
,, 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,2016,September ,"3,430","158,239,705","142,199,304","11,359,862","2,653,933","130,992","1,895,613","65,046,497","49,645,956","7,650,771","3,065,544","124,746","4,559,480","65,046,497","63,104,949","1,941,548","11,230,857","9,968,757","1,022,179","176,895","63,026","9,227,381","4,931,370","4,296,011","943,390,959","728,103,164","188,191,971","1,026,508","21,000,869","379,973","4,688,474","943,390,959","216,597,536","726,793,423"
,, 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,